ts,station_id,event_type,details
1130,2,finish,"{'car_id': 12, 'to': 3}"
1130,2,start,"{'car_id': 13, 'proc_time': 82}"
1131,3,start,"{'car_id': 12, 'proc_time': 86}"
1147,4,finish,"{'car_id': 11, 'to': 5}"
1148,5,start,"{'car_id': 11, 'proc_time': 46}"
1149,11,finish,"{'car_id': 9, 'to': 12}"
1149,11,start,"{'car_id': 10, 'proc_time': 59}"
1152,3,finish,"{'car_id': 12, 'to': 4}"
1153,4,start,"{'car_id': 12, 'proc_time': 89}"
1158,0,finish,"{'car_id': 0, 'to': 1}"
1158,0,start,"{'car_id': 1, 'proc_time': 57}"
1158,1,finish,"{'car_id': 14, 'to': 2}"
1158,1,start,"{'car_id': 15, 'proc_time': 91}"
1166,2,finish,"{'car_id': 13, 'to': 3}"
1166,2,start,"{'car_id': 14, 'proc_time': 63}"
1167,3,start,"{'car_id': 13, 'proc_time': 64}"
1168,5,finish,"{'car_id': 11, 'to': 6}"
1169,6,start,"{'car_id': 11, 'proc_time': 59}"
1182,4,finish,"{'car_id': 12, 'to': 5}"
1183,5,start,"{'car_id': 12, 'proc_time': 54}"
1185,3,finish,"{'car_id': 13, 'to': 4}"
1186,4,start,"{'car_id': 13, 'proc_time': 96}"
1192,6,finish,"{'car_id': 11, 'to': 7}"
1196,2,finish,"{'car_id': 14, 'to': 3}"
1197,3,start,"{'car_id': 14, 'proc_time': 73}"
1203,0,finish,"{'car_id': 1, 'to': 1}"
1203,0,start,"{'car_id': 2, 'proc_time': 42}"
1203,1,finish,"{'car_id': 15, 'to': 2}"
1203,1,start,"{'car_id': 16, 'proc_time': 59}"
1204,2,start,"{'car_id': 15, 'proc_time': 67}"
1205,5,finish,"{'car_id': 12, 'to': 6}"
1206,6,start,"{'car_id': 12, 'proc_time': 75}"
1208,11,finish,"{'car_id': 10, 'to': 12}"
1210,8,breakdown,{'downtime': 197}
1216,3,finish,"{'car_id': 14, 'to': 4}"
1216,4,finish,"{'car_id': 13, 'to': 5}"
1217,4,start,"{'car_id': 14, 'proc_time': 95}"
1217,5,start,"{'car_id': 13, 'proc_time': 56}"
1228,12,quality_fail,{'severity': 0.06928744787475066}
1232,6,finish,"{'car_id': 12, 'to': 7}"
1233,0,finish,"{'car_id': 2, 'to': 1}"
1233,0,start,"{'car_id': 3, 'proc_time': 47}"
1233,1,finish,"{'car_id': 16, 'to': 2}"
1233,1,start,"{'car_id': 17, 'proc_time': 66}"
1235,2,finish,"{'car_id': 15, 'to': 3}"
1235,2,start,"{'car_id': 16, 'proc_time': 60}"
