t_abs,event,station_id,to,timestamp
997,STATE_CHANGE,7,IDLE,2025-09-13T10:15:43.695269
998,STATE_CHANGE,2,RUN,2025-09-13T10:15:44.695269
999,STATE_CHANGE,1,IDLE,2025-09-13T10:15:45.695269
1001,STATE_CHANGE,5,RUN,2025-09-13T10:15:47.695269
1010,STATE_CHANGE,3,RUN,2025-09-13T10:15:56.695269
1012,STATE_CHANGE,7,RUN,2025-09-13T10:15:58.695269
1017,STATE_CHANGE,6,IDLE,2025-09-13T10:16:03.695269
1018,STATE_CHANGE,1,RUN,2025-09-13T10:16:04.695269
1022,STATE_CHANGE,4,IDLE,2025-09-13T10:16:08.695269
1026,STATE_CHANGE,6,RUN,2025-09-13T10:16:12.695269
1029,STATE_CHANGE,8,IDLE,2025-09-13T10:16:15.695269
1039,STATE_CHANGE,4,RUN,2025-09-13T10:16:25.695269
1042,STATE_CHANGE,3,IDLE,2025-09-13T10:16:28.695269
1047,STATE_CHANGE,3,RUN,2025-09-13T10:16:33.695269
1051,STATE_CHANGE,5,IDLE,2025-09-13T10:16:37.695269
1053,STATE_CHANGE,8,RUN,2025-09-13T10:16:39.695269
1056,STATE_CHANGE,2,IDLE,2025-09-13T10:16:42.695269
1058,STATE_CHANGE,6,IDLE,2025-09-13T10:16:44.695269
1058,STATE_CHANGE,7,IDLE,2025-09-13T10:16:44.695269
1061,STATE_CHANGE,1,IDLE,2025-09-13T10:16:47.695269
1062,STATE_CHANGE,7,RUN,2025-09-13T10:16:48.695269
1063,STATE_CHANGE,5,RUN,2025-09-13T10:16:49.695269
1070,STATE_CHANGE,1,RUN,2025-09-13T10:16:56.695269
1073,STATE_CHANGE,2,RUN,2025-09-13T10:16:59.695269
1074,STATE_CHANGE,6,RUN,2025-09-13T10:17:00.695269
1084,STATE_CHANGE,4,IDLE,2025-09-13T10:17:10.695269
1092,STATE_CHANGE,3,IDLE,2025-09-13T10:17:18.695269
1093,STATE_CHANGE,6,IDLE,2025-09-13T10:17:19.695269
1093,STATE_CHANGE,8,IDLE,2025-09-13T10:17:19.695269
1097,STATE_CHANGE,3,RUN,2025-09-13T10:17:23.695269
1102,STATE_CHANGE,4,RUN,2025-09-13T10:17:28.695269
1109,STATE_CHANGE,7,IDLE,2025-09-13T10:17:35.695269
1109,STATE_CHANGE,8,RUN,2025-09-13T10:17:35.695269
1116,STATE_CHANGE,5,IDLE,2025-09-13T10:17:42.695269
1116,STATE_CHANGE,6,RUN,2025-09-13T10:17:42.695269
1125,STATE_CHANGE,3,IDLE,2025-09-13T10:17:51.695269
1127,STATE_CHANGE,7,RUN,2025-09-13T10:17:53.695269
1129,STATE_CHANGE,1,IDLE,2025-09-13T10:17:55.695269
1130,STATE_CHANGE,8,IDLE,2025-09-13T10:17:56.695269
1131,STATE_CHANGE,2,IDLE,2025-09-13T10:17:57.695269
1132,STATE_CHANGE,5,RUN,2025-09-13T10:17:58.695269
1137,STATE_CHANGE,8,RUN,2025-09-13T10:18:03.695269
1140,STATE_CHANGE,3,RUN,2025-09-13T10:18:06.695269
1147,STATE_CHANGE,2,RUN,2025-09-13T10:18:13.695269
1148,STATE_CHANGE,6,IDLE,2025-09-13T10:18:14.695269
1150,STATE_CHANGE,1,RUN,2025-09-13T10:18:16.695269
1159,STATE_CHANGE,6,RUN,2025-09-13T10:18:25.695269
1162,STATE_CHANGE,4,IDLE,2025-09-13T10:18:28.695269
1162,STATE_CHANGE,7,IDLE,2025-09-13T10:18:28.695269
1168,STATE_CHANGE,8,IDLE,2025-09-13T10:18:34.695269
1172,STATE_CHANGE,4,RUN,2025-09-13T10:18:38.695269
1182,STATE_CHANGE,3,IDLE,2025-09-13T10:18:48.695269
1185,STATE_CHANGE,7,RUN,2025-09-13T10:18:51.695269
1186,STATE_CHANGE,8,RUN,2025-09-13T10:18:52.695269
1189,STATE_CHANGE,2,IDLE,2025-09-13T10:18:55.695269
1190,STATE_CHANGE,5,IDLE,2025-09-13T10:18:56.695269
1193,STATE_CHANGE,3,RUN,2025-09-13T10:18:59.695269
1196,STATE_CHANGE,1,IDLE,2025-09-13T10:19:02.695269
1199,STATE_CHANGE,6,IDLE,2025-09-13T10:19:05.695269
1203,STATE_CHANGE,2,RUN,2025-09-13T10:19:09.695269
